Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2021070804015877,AHPC,28,1,10,432.0,4320.0
2021070804015755,AHPC,47,38,130,431.0,56030.0
2021070804015678,AHPC,47,45,30,431.0,12930.0
2021070804015677,AHPC,47,36,"1,000",431.0,431000.0
2021070804015676,AHPC,47,14,50,431.0,21550.0
2021070804016057,AHPC,47,22,"1,010",432.0,436320.0
2021070804016029,AHPC,47,7,100,432.0,43200.0
2021070804015959,AHPC,36,44,20,433.0,8660.0
2021070804015880,AHPC,47,43,30,432.0,12960.0
2021070804015879,AHPC,47,34,100,432.0,43200.0
2021070804015878,AHPC,47,1,180,432.0,77760.0
2021070804016109,AHPC,47,38,585,432.0,252720.0
2021070804015753,AIL,22,56,15,798.0,11970.0
2021070804015752,AIL,17,56,25,799.0,19975.0
2021070804015733,AIL,17,58,10,799.0,7990.0
2021070804015732,AIL,17,51,15,799.0,11985.0
2021070804015818,AKJCL,40,37,114,261.0,29754.0
2021070804015817,AKJCL,40,58,20,261.0,5220.0
2021070804015816,AKJCL,40,26,66,261.0,17226.0
2021070804015760,AKJCL,58,26,100,261.0,26100.0
2021070804015682,AKJCL,39,22,500,260.0,130000.0
2021070804016123,AKPL,46,21,30,433.0,12990.0
2021070804015905,AKPL,47,13,200,434.0,86800.0
2021070804015884,AKPL,21,51,40,432.0,17280.0
2021070804015883,AKPL,46,51,100,432.0,43200.0
2021070804015882,AKPL,41,51,210,432.0,90720.0
2021070804015881,AKPL,19,51,150,433.0,64950.0
2021070804015702,AKPL,4,42,41,435.0,17835.0
2021070804015701,AKPL,4,55,490,435.0,213150.0
2021070804015700,AKPL,4,16,50,434.0,21700.0
2021070804015699,AKPL,4,11,50,434.0,21700.0
2021070804015698,AKPL,4,36,180,434.0,78120.0
2021070804015708,AKPL,4,34,100,435.0,43500.0
2021070804015707,AKPL,4,52,200,435.0,87000.0
2021070804015706,AKPL,4,4,10,435.0,4350.0
2021070804015705,AKPL,4,29,21,435.0,9135.0
2021070804015704,AKPL,4,25,200,435.0,87000.0
2021070804015703,AKPL,4,52,300,435.0,130500.0
