Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2021092705003286,JBLB,1,43,10,4012.0,40120.0
2021092705003285,JBLB,26,43,10,4012.0,40120.0
2021092705003283,JBLB,57,21,10,4013.0,40130.0
2021092705002796,JBLB,59,34,20,4020.0,80400.0
2021092705002807,JBLB,42,50,10,4020.0,40200.0
2021092705002806,JBLB,33,50,50,4020.0,201000.0
2021092705002817,JBLB,35,49,10,4015.0,40150.0
2021092705002829,JBLB,7,39,10,4005.1,40051.0
2021092705002828,JBLB,36,39,10,4005.1,40051.0
2021092705002839,JBLB,32,45,10,4005.0,40050.0
2021092705002836,JBLB,32,49,10,4005.0,40050.0
2021092705002835,JBLB,17,50,20,4020.0,80400.0
2021092705002841,JBLB,32,29,10,4005.0,40050.0
2021092705002840,JBLB,32,13,10,4005.0,40050.0
2021092705002850,JBLB,32,35,45,4005.0,180225.0
2021092705002857,JBLB,35,50,10,4005.0,40050.0
2021092705002856,JBLB,34,50,20,4005.0,80100.0
2021092705002855,JBLB,32,50,15,4005.0,60075.0
2021092705002867,JBLB,42,50,10,4005.0,40050.0
2021092705002863,JBLB,36,48,10,4002.0,40020.0
2021092705002878,JBLB,57,19,10,4004.0,40040.0
2021092705002876,JBLB,22,49,10,4003.0,40030.0
2021092705002874,JBLB,50,32,10,4002.0,40020.0
2021092705002889,JBLB,40,51,10,4004.0,40040.0
2021092705002915,JBLB,13,50,10,4001.0,40010.0
2021092705002914,JBLB,50,50,20,4001.0,80020.0
2021092705002913,JBLB,19,50,20,4001.0,80020.0
2021092705002912,JBLB,16,50,10,4001.0,40010.0
2021092705002911,JBLB,56,50,10,4001.0,40010.0
2021092705002910,JBLB,50,29,10,4002.0,40020.0
2021092705002921,JBLB,8,50,25,4000.0,100000.0
2021092705002920,JBLB,53,50,100,4000.0,400000.0
2021092705002919,JBLB,22,50,10,4000.1,40001.0
2021092705002918,JBLB,59,50,10,4001.0,40010.0
2021092705002917,JBLB,46,50,20,4001.0,80020.0
2021092705002916,JBLB,33,50,50,4001.0,200050.0
2021092705002933,JBLB,54,29,10,4000.0,40000.0
2021092705002932,JBLB,8,16,10,4000.0,40000.0
2021092705002923,JBLB,8,17,10,4000.0,40000.0
2021092705002936,JBLB,54,7,10,4002.0,40020.0
2021092705002935,JBLB,54,25,10,4002.0,40020.0
2021092705002947,JBLB,25,50,15,4000.0,60000.0
2021092705002946,JBLB,47,50,20,4000.0,80000.0
2021092705002945,JBLB,52,50,20,4000.0,80000.0
2021092705002944,JBLB,48,50,20,4000.1,80002.0
2021092705002952,JBLB,42,39,10,4001.0,40010.0
2021092705002961,JBLB,6,50,10,4005.0,40050.0
2021092705002960,JBLB,42,14,10,4001.0,40010.0
2021092705002989,JBLB,39,53,10,4005.0,40050.0
2021092705002988,JBLB,39,21,10,4001.0,40010.0
2021092705002965,JBLB,42,29,10,4001.0,40010.0
2021092705002994,JBLB,39,21,10,4020.0,40200.0
2021092705002993,JBLB,39,57,10,4020.0,40200.0
2021092705002992,JBLB,39,49,10,4010.0,40100.0
2021092705002991,JBLB,39,32,10,4010.0,40100.0
2021092705002990,JBLB,39,42,10,4005.0,40050.0
2021092705003000,JBLB,10,57,20,4000.2,80004.0
2021092705002996,JBLB,34,34,20,4000.2,80004.0
2021092705003008,JBLB,45,57,30,4000.2,120006.0
2021092705003018,JBLB,32,29,10,4001.0,40010.0
2021092705003039,JBLB,26,29,10,4002.0,40020.0
2021092705003075,JBLB,7,44,10,4001.1,40011.0
2021092705003080,JBLB,3,58,10,4002.0,40020.0
2021092705003100,JBLB,39,5,10,4002.0,40020.0
2021092705003099,JBLB,17,22,20,4020.0,80400.0
2021092705003098,JBLB,17,35,10,4020.0,40200.0
2021092705003101,JBLB,45,5,20,4002.0,80040.0
2021092705003117,JBLB,43,45,10,4003.0,40030.0
2021092705003116,JBLB,40,45,50,4003.0,200150.0
2021092705003115,JBLB,53,45,10,4005.0,40050.0
2021092705003122,JBLB,3,45,20,4002.0,80040.0
2021092705003121,JBLB,45,45,55,4002.0,220110.0
2021092705003120,JBLB,38,45,10,4002.0,40020.0
2021092705003119,JBLB,38,45,20,4002.1,80042.0
2021092705003118,JBLB,42,45,10,4002.2,40022.0
2021092705003139,JBLB,28,8,10,4004.0,40040.0
2021092705003138,JBLB,28,49,10,4004.0,40040.0
2021092705003137,JBLB,28,29,10,4004.0,40040.0
2021092705003146,JBLB,39,21,50,4010.0,200500.0
2021092705003159,JBLB,40,8,10,4020.0,40200.0
2021092705003155,JBLB,1,58,10,4010.0,40100.0
2021092705003162,JBLB,38,49,10,4020.0,40200.0
2021092705003179,JBLB,41,36,10,4020.0,40200.0
2021092705003177,JBLB,57,16,10,4012.0,40120.0
2021092705003186,JBLB,1,48,10,4020.0,40200.0
