Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2021020705006022,PLI,8,35,30,877.0,26310.0
2021020705006021,PLI,8,45,20,877.0,17540.0
2021020705006020,PLI,8,58,10,877.0,8770.0
2021020705006019,PLI,8,52,10,877.0,8770.0
2021020705006018,PLI,8,17,10,877.0,8770.0
2021020705006017,PLI,8,38,10,877.0,8770.0
2021020705005524,PLI,11,49,10,880.0,8800.0
2021020705005523,PLI,49,58,10,881.0,8810.0
2021020705005530,PLI,13,46,10,880.0,8800.0
2021020705005529,PLI,1,45,90,881.0,79290.0
2021020705005528,PLI,1,36,10,881.0,8810.0
2021020705005527,PLI,13,45,10,880.0,8800.0
2021020705005526,PLI,11,53,10,880.0,8800.0
2021020705005525,PLI,11,28,10,880.0,8800.0
2021020705005536,PLI,13,49,10,880.0,8800.0
2021020705005535,PLI,13,57,10,880.0,8800.0
2021020705005534,PLI,13,21,10,880.0,8800.0
2021020705005533,PLI,13,53,10,880.0,8800.0
2021020705005532,PLI,13,36,10,880.0,8800.0
2021020705005531,PLI,13,49,10,880.0,8800.0
2021020705005542,PLI,46,38,10,880.0,8800.0
2021020705005541,PLI,4,11,10,880.0,8800.0
2021020705005540,PLI,4,58,10,880.0,8800.0
2021020705005539,PLI,49,45,90,881.0,79290.0
2021020705005538,PLI,13,36,10,880.0,8800.0
2021020705005537,PLI,13,42,10,880.0,8800.0
2021020705005548,PLI,43,21,10,880.0,8800.0
2021020705005547,PLI,43,41,40,880.0,35200.0
2021020705005546,PLI,46,41,10,880.0,8800.0
2021020705005545,PLI,46,28,10,880.0,8800.0
2021020705005544,PLI,46,49,10,880.0,8800.0
2021020705005543,PLI,46,36,10,880.0,8800.0
2021020705005554,PLI,43,36,10,880.0,8800.0
2021020705005553,PLI,43,34,10,880.0,8800.0
2021020705005552,PLI,43,28,10,880.0,8800.0
2021020705005551,PLI,43,11,10,880.0,8800.0
2021020705005550,PLI,43,58,10,880.0,8800.0
2021020705005549,PLI,43,29,10,880.0,8800.0
2021020705005560,PLI,42,17,10,880.0,8800.0
2021020705005559,PLI,42,58,10,880.0,8800.0
2021020705005558,PLI,42,28,10,880.0,8800.0
2021020705005557,PLI,42,29,10,880.0,8800.0
2021020705005556,PLI,43,34,30,880.0,26400.0
2021020705005555,PLI,43,6,10,880.0,8800.0
2021020705005566,PLI,8,1,10,880.0,8800.0
2021020705005565,PLI,43,1,60,880.0,52800.0
2021020705005564,PLI,43,1,30,880.0,26400.0
2021020705005563,PLI,42,1,15,880.0,13200.0
2021020705005562,PLI,26,45,50,881.0,44050.0
2021020705005561,PLI,44,45,490,881.0,431690.0
2021020705005572,PLI,36,1,90,880.0,79200.0
2021020705005571,PLI,19,1,50,880.0,44000.0
2021020705005570,PLI,47,1,70,880.0,61600.0
2021020705005569,PLI,47,1,50,880.0,44000.0
2021020705005568,PLI,34,1,20,880.0,17600.0
2021020705005567,PLI,38,1,100,880.0,88000.0
2021020705005578,PLI,1,45,50,881.0,44050.0
2021020705005577,PLI,49,17,10,880.0,8800.0
2021020705005576,PLI,49,21,10,880.0,8800.0
2021020705005575,PLI,49,28,10,880.0,8800.0
2021020705005574,PLI,49,19,10,880.0,8800.0
2021020705005573,PLI,6,1,5,880.0,4400.0
2021020705005584,PLI,49,28,10,880.0,8800.0
2021020705005583,PLI,49,10,10,880.0,8800.0
2021020705005582,PLI,49,29,10,880.0,8800.0
2021020705005581,PLI,49,53,10,880.0,8800.0
2021020705005580,PLI,49,38,10,880.0,8800.0
2021020705005579,PLI,49,28,10,880.0,8800.0
2021020705005590,PLI,44,11,10,879.0,8790.0
2021020705005589,PLI,44,51,100,879.0,87900.0
