Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2021062404028113,AHPC,32,13,145,485.0,70325.0
2021062404028112,AHPC,32,22,155,484.0,75020.0
2021062404028087,AHPC,34,22,150,484.0,72600.0
2021062404028202,AHPC,50,26,50,483.0,24150.0
2021062404028201,AHPC,48,26,200,483.0,96600.0
2021062404028200,AHPC,54,26,792,483.0,382536.0
2021062404028199,AHPC,51,26,50,484.0,24200.0
2021062404028142,AHPC,6,13,29,485.0,14065.0
2021062404028122,AHPC,3,13,20,485.0,9700.0
2021062404028236,AHPC,6,34,200,483.0,96600.0
2021062404028212,AHPC,41,13,20,485.0,9700.0
2021062404028206,AHPC,6,26,218,483.0,105294.0
2021062404028205,AHPC,22,26,200,483.0,96600.0
2021062404028204,AHPC,38,26,50,483.0,24150.0
2021062404028203,AHPC,38,26,200,483.0,96600.0
2021062404028462,AHPC,38,45,75,488.0,36600.0
2021062404028353,AHPC,6,25,17,486.0,8262.0
2021062404028293,AHPC,6,36,500,486.0,243000.0
2021062404028292,AHPC,6,13,215,485.0,104275.0
2021062404028259,AIL,17,8,10,827.0,8270.0
2021062404028258,AIL,17,41,40,827.0,33080.0
2021062404028140,AIL,41,41,10,827.0,8270.0
2021062404028457,AKPL,36,34,173,436.0,75428.0
2021062404028456,AKPL,57,34,100,437.0,43700.0
2021062404028455,AKPL,42,34,100,437.0,43700.0
2021062404028454,AKPL,45,34,127,437.0,55499.0
2021062404028431,AKPL,40,28,100,438.0,43800.0
2021062404028287,AKPL,29,28,38,438.0,16644.0
2021062404028146,AKPL,45,36,11,437.0,4807.0
2021062404028100,AKPL,45,25,62,437.0,27094.0
2021062404028093,AKPL,57,25,100,437.0,43700.0
2021062404028092,AKPL,16,25,100,437.0,43700.0
2021062404028091,AKPL,33,25,38,437.0,16606.0
2021062404028532,API,38,22,200,402.0,80400.0
2021062404028513,API,48,26,"1,100",401.0,441100.0
2021062404028504,API,33,22,100,402.0,40200.0
2021062404028503,API,33,45,50,402.0,20100.0
2021062404028502,API,33,26,150,402.0,60300.0
2021062404028500,API,36,26,10,402.0,4020.0
2021062404028105,API,39,14,37,402.0,14874.0
2021062404028101,API,45,14,15,402.0,6030.0
2021062404028084,API,34,14,200,402.0,80400.0
2021062404028143,API,56,5,167,402.0,67134.0
2021062404028136,API,26,5,10,402.0,4020.0
2021062404028126,API,49,5,60,402.0,24120.0
2021062404028114,API,36,5,100,402.0,40200.0
2021062404028107,API,39,5,163,402.0,65526.0
2021062404028106,API,39,25,300,402.0,120600.0
2021062404028305,API,41,32,50,401.0,20050.0
2021062404028304,API,33,32,200,401.0,80200.0
2021062404028303,API,44,32,500,401.0,200500.0
2021062404028302,API,58,32,50,401.0,20050.0
2021062404028250,API,49,22,360,402.0,144720.0
2021062404028144,API,56,22,333,402.0,133866.0
2021062404028330,API,48,22,"3,000",402.0,1206000.0
2021062404028318,API,39,25,100,401.0,40100.0
2021062404028315,API,39,3,500,401.0,200500.0
2021062404028314,API,58,22,95,402.0,38190.0
2021062404028307,API,39,32,400,401.0,160400.0
2021062404028306,API,41,32,300,401.0,120300.0
2021062404028372,API,48,58,75,401.0,30075.0
2021062404028371,API,56,58,30,401.0,12030.0
2021062404028370,API,57,58,25,401.0,10025.0
2021062404028369,API,19,58,30,401.0,12030.0
2021062404028332,API,3,47,788,402.0,316776.0
2021062404028331,API,3,22,212,402.0,85224.0
2021062404028480,API,19,26,500,402.0,201000.0
2021062404028475,API,34,26,340,402.0,136680.0
2021062404028474,API,34,47,160,402.0,64320.0
2021062404028465,API,48,51,100,401.0,40100.0
2021062404028463,API,51,47,30,402.0,12060.0
2021062404028414,API,51,47,22,402.0,8844.0
2021062404028527,BARUN,51,45,720,528.0,380160.0
2021062404028526,BARUN,14,45,500,528.0,264000.0
2021062404028525,BARUN,44,45,50,528.0,26400.0
2021062404028524,BARUN,10,45,30,528.0,15840.0
2021062404028523,BARUN,48,45,100,530.0,53000.0
2021062404028522,BARUN,38,45,100,534.0,53400.0
2021062404028130,BARUN,44,14,180,535.0,96300.0
2021062404028539,BPCL,45,49,50,499.0,24950.0
2021062404028536,BPCL,25,52,100,498.0,49800.0
2021062404028535,BPCL,1,52,50,498.0,24900.0
2021062404028528,BPCL,48,49,100,499.0,49900.0
2021062404028493,BPCL,29,49,40,499.0,19960.0
2021062404028426,BPCL,42,49,50,499.0,24950.0
2021062404028310,BPCL,4,6,10,500.0,5000.0
2021062404028198,BPCL,16,6,50,500.0,25000.0
2021062404028197,BPCL,38,6,50,500.0,25000.0
2021062404028329,BPCL,58,6,45,500.0,22500.0
2021062404028420,BPCL,38,49,26,499.0,12974.0
2021062404028419,BPCL,19,49,15,499.0,7485.0
2021062404028358,BPCL,11,6,80,500.0,40000.0
2021062404028485,CGH,53,58,10,1580.0,15800.0
2021062404028453,CGH,53,49,90,1580.0,142200.0
2021062404028452,CGH,18,49,100,1580.0,158000.0
2021062404028451,CGH,36,49,10,1581.0,15810.0
2021062404028283,CGH,58,49,30,1587.0,47610.0
2021062404028416,CHL,41,28,50,447.0,22350.0
2021062404028415,CHL,4,28,200,447.0,89400.0
2021062404028444,CMF1,4,38,100,12.29,1229.0
2021062404028476,DHPL,3,36,168,279.0,46872.0
2021062404028191,DHPL,13,36,30,280.0,8400.0
2021062404028450,EIC,49,39,50,766.0,38300.0
2021062404028430,EIC,57,39,100,766.0,76600.0
2021062404028429,EIC,32,39,500,766.0,383000.0
2021062404028428,EIC,52,39,20,766.0,15320.0
2021062404028427,EIC,7,39,10,766.0,7660.0
2021062404028213,GIC,38,41,10,702.0,7020.0
2021062404028145,GIC,38,13,70,702.0,49140.0
2021062404028127,GIC,22,13,100,702.0,70200.0
2021062404028514,GLH,16,58,10,378.0,3780.0
2021062404028481,GLH,16,56,10,378.0,3780.0
