Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2021040804026516,AHPC,33,53,100,264.0,26400.0
2021040804026455,AHPC,28,59,16,265.0,4240.0
2021040804026627,AIL,19,39,35,845.0,29575.0
2021040804026626,AIL,26,39,15,845.0,12675.0
2021040804026600,AIL,26,59,35,845.0,29575.0
2021040804026599,AIL,49,59,65,845.0,54925.0
2021040804026523,AIL,57,43,10,846.0,8460.0
2021040804026522,AIL,57,14,80,846.0,67680.0
2021040804026365,AIL,14,1,110,846.0,93060.0
2021040804026330,AIL,17,52,10,845.0,8450.0
2021040804026319,AIL,34,1,20,846.0,16920.0
2021040804026521,AIL,57,1,110,846.0,93060.0
2021040804026477,AIL,41,1,30,846.0,25380.0
2021040804026458,AIL,49,4,10,845.0,8450.0
2021040804026457,AIL,14,4,10,845.0,8450.0
2021040804026456,AIL,17,4,30,845.0,25350.0
2021040804026377,AIL,34,38,200,846.0,169200.0
2021040804026676,AKPL,36,4,35,330.0,11550.0
2021040804026666,AKPL,36,32,455,330.0,150150.0
2021040804026665,AKPL,36,32,545,330.0,179850.0
2021040804026590,AKPL,59,32,500,331.0,165500.0
2021040804026441,AKPL,17,32,50,331.0,16550.0
2021040804026381,AKPL,57,32,100,331.0,33100.0
2021040804026598,API,46,32,881,329.0,289849.0
2021040804026567,API,25,32,100,329.0,32900.0
2021040804026506,API,57,32,200,329.0,65800.0
2021040804026475,API,26,32,100,329.0,32900.0
2021040804026474,API,56,32,500,329.0,164500.0
2021040804026473,API,38,32,78,329.0,25662.0
2021040804026401,API,38,57,72,329.0,23688.0
2021040804026400,API,55,57,928,329.0,305312.0
2021040804026623,BARUN,5,54,50,245.0,12250.0
2021040804026611,BPCL,37,59,172,422.0,72584.0
2021040804026610,BPCL,37,53,28,422.0,11816.0
2021040804026569,BPCL,29,53,200,422.0,84400.0
2021040804026341,BPCL,58,53,50,422.0,21100.0
2021040804026340,BPCL,7,53,50,422.0,21100.0
2021040804026339,BPCL,51,53,274,422.0,115628.0
2021040804026306,BPCL,49,49,"26,620",420.0,11180400.0
2021040804026407,BPCL,51,53,100,422.0,42200.0
2021040804026345,BPCL,21,53,50,422.0,21100.0
2021040804026344,BPCL,45,53,"1,000",422.0,422000.0
2021040804026343,BPCL,56,53,100,422.0,42200.0
2021040804026342,BPCL,53,53,148,422.0,62456.0
2021040804026679,CGH,21,38,55,2625.0,144375.0
2021040804026678,CGH,40,38,10,2630.0,26300.0
2021040804026671,CGH,40,38,10,2630.0,26300.0
2021040804026608,CGH,20,20,50,2643.0,132150.0
2021040804026607,CGH,20,21,10,2641.0,26410.0
2021040804026606,CGH,20,32,20,2641.0,52820.0
2021040804026309,CGH,58,26,45,2639.0,118755.0
2021040804026283,CGH,14,32,20,2641.0,52820.0
2021040804026519,CGH,4,3,19,2640.0,50160.0
2021040804026518,CGH,4,41,10,2640.0,26400.0
2021040804026484,CGH,6,53,60,2630.0,157800.0
2021040804026483,CGH,53,53,30,2631.0,78930.0
2021040804026318,CGH,41,32,10,2641.0,26410.0
2021040804026310,CGH,36,26,40,2630.0,105200.0
2021040804026605,CGH,20,3,31,2640.0,81840.0
2021040804026604,CGH,20,56,85,2630.0,223550.0
2021040804026603,CGH,51,56,10,2630.0,26300.0
2021040804026577,CGH,17,56,45,2630.0,118350.0
2021040804026563,CGH,17,56,20,2630.0,52600.0
2021040804026562,CGH,6,56,40,2630.0,105200.0
2021040804026622,CHCL,40,21,10,670.0,6700.0
