Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2021071304011489,AHPC,4,57,60,451.0,27060.0
2021071304011476,AHPC,4,53,262,451.0,118162.0
2021071304011400,AHPC,4,53,"1,000",451.0,451000.0
2021071304011390,AHPC,16,53,500,452.0,226000.0
2021071304011344,AHPC,57,53,238,452.0,107576.0
2021071304011713,AHPC,5,25,189,453.0,85617.0
2021071304011712,AHPC,5,55,300,452.0,135600.0
2021071304011689,AHPC,21,55,200,452.0,90400.0
2021071304011675,AHPC,58,25,11,453.0,4983.0
2021071304011597,AHPC,4,56,300,451.0,135300.0
2021071304011515,AHPC,4,28,50,451.0,22550.0
2021071304011754,AHPC,21,38,100,452.0,45200.0
2021071304011753,AHPC,28,38,100,452.0,45200.0
2021071304011717,AHPC,5,54,20,453.0,9060.0
2021071304011716,AHPC,5,37,111,453.0,50283.0
2021071304011715,AHPC,5,40,300,453.0,135900.0
2021071304011714,AHPC,5,53,80,453.0,36240.0
2021071304011755,AHPC,4,38,800,451.0,360800.0
2021071304011406,AKJCL,4,41,10,275.0,2750.0
2021071304011333,AKJCL,58,41,10,275.0,2750.0
2021071304011774,AKPL,20,13,80,450.0,36000.0
2021071304011635,AKPL,16,4,110,451.0,49610.0
2021071304011579,AKPL,42,4,12,451.0,5412.0
2021071304011559,AKPL,42,58,20,451.0,9020.0
2021071304011538,AKPL,42,50,100,451.0,45100.0
2021071304011468,AKPL,42,47,68,451.0,30668.0
2021071304011467,AKPL,17,47,15,451.0,6765.0
2021071304011449,AKPL,17,21,85,451.0,38335.0
2021071304011448,AKPL,47,21,215,451.0,96965.0
2021071304011778,API,57,59,10,388.0,3880.0
2021071304011777,API,11,45,24,387.0,9288.0
2021071304011776,API,36,45,76,387.0,29412.0
2021071304011768,API,50,59,130,388.0,50440.0
2021071304011708,API,42,59,290,388.0,112520.0
2021071304011707,API,42,21,250,388.0,97000.0
2021071304011367,API,36,32,32,386.0,12352.0
2021071304011353,API,44,37,467,387.0,180729.0
2021071304011352,API,44,55,20,387.0,7740.0
2021071304011351,API,44,49,143,387.0,55341.0
2021071304011350,API,44,3,11,387.0,4257.0
2021071304011349,API,44,57,359,387.0,138933.0
2021071304011648,API,5,59,70,388.0,27160.0
2021071304011573,API,5,57,30,388.0,11640.0
2021071304011572,API,36,38,700,387.0,270900.0
2021071304011481,API,36,48,91,387.0,35217.0
2021071304011461,API,36,44,500,387.0,193500.0
2021071304011460,API,36,37,133,387.0,51471.0
2021071304011775,BARUN,42,22,50,520.0,26000.0
2021071304011751,BARUN,42,20,100,520.0,52000.0
2021071304011745,BARUN,14,20,10,523.0,5230.0
2021071304011683,BARUN,14,14,490,516.0,252840.0
2021071304011409,BARUN,6,35,20,520.0,10400.0
2021071304011485,BARUN,38,35,800,520.0,416000.0
2021071304011412,BARUN,50,35,50,520.0,26000.0
2021071304011411,BARUN,25,35,10,520.0,5200.0
2021071304011410,BARUN,42,35,50,520.0,26000.0
2021071304011610,BARUN,41,21,20,517.0,10340.0
2021071304011609,BARUN,22,21,20,518.0,10360.0
2021071304011608,BARUN,55,21,90,518.0,46620.0
2021071304011607,BARUN,25,21,10,519.0,5190.0
2021071304011606,BARUN,42,21,30,521.0,15630.0
2021071304011565,BARUN,42,35,70,520.0,36400.0
2021071304011682,BARUN,5,14,10,520.0,5200.0
2021071304011668,BARUN,5,3,50,520.0,26000.0
2021071304011631,BARUN,5,21,10,517.0,5170.0
2021071304011613,BARUN,55,21,100,517.0,51700.0
2021071304011612,BARUN,22,21,200,517.0,103400.0
2021071304011611,BARUN,41,21,20,517.0,10340.0
2021071304011688,BBC,26,44,10,5680.0,56800.0
2021071304011483,BBC,28,13,15,5661.0,84915.0
2021071304011687,BPCL,42,49,80,500.0,40000.0
2021071304011686,BPCL,35,49,20,500.0,10000.0
2021071304011336,BPCL,59,46,329,500.0,164500.0
2021071304011330,BPCL,49,46,50,500.0,25000.0
2021071304011446,BPCL,59,22,171,500.0,85500.0
2021071304011522,BPCL,43,13,100,500.0,50000.0
2021071304011447,BPCL,43,22,95,500.0,47500.0
2021071304011765,CGH,48,6,10,1517.0,15170.0
2021071304011450,CGH,48,38,80,1517.0,121360.0
2021071304011762,CHCL,41,51,140,667.0,93380.0
2021071304011761,CHCL,58,51,50,667.0,33350.0
2021071304011760,CHCL,11,51,50,667.0,33350.0
2021071304011794,CHL,32,43,100,478.0,47800.0
2021071304011793,CHL,32,32,50,477.0,23850.0
2021071304011792,CHL,32,56,30,476.0,14280.0
2021071304011791,CHL,32,14,100,476.0,47600.0
2021071304011790,CHL,32,13,50,475.0,23750.0
2021071304011789,CHL,32,32,105,475.0,49875.0
2021071304011671,CHL,32,36,20,473.0,9460.0
2021071304011563,CHL,56,36,20,474.0,9480.0
2021071304011554,CHL,19,16,48,474.0,22752.0
2021071304011334,CHL,56,20,100,473.0,47300.0
2021071304011788,CHL,32,16,100,474.0,47400.0
2021071304011787,CHL,32,38,100,474.0,47400.0
2021071304011786,CHL,32,36,80,474.0,37920.0
2021071304011740,CHL,19,36,80,473.0,37840.0
2021071304011720,CHL,32,44,250,472.0,118000.0
2021071304011718,CHL,53,36,100,473.0,47300.0
2021071304011552,CMF1,59,4,100,12.45,1245.0
2021071304011710,EIC,34,57,75,749.0,56175.0
2021071304011670,EIC,38,17,10,750.0,7500.0
2021071304011599,EIC,34,56,100,749.0,74900.0
2021071304011598,EIC,34,44,48,749.0,35952.0
2021071304011577,EIC,48,44,52,749.0,38948.0
2021071304011576,EIC,48,28,36,749.0,26964.0
2021071304011562,EIC,17,44,130,748.0,97240.0
2021071304011561,EIC,26,44,10,748.0,7480.0
2021071304011560,EIC,51,44,260,748.0,194480.0
2021071304011549,EIC,51,45,30,748.0,22440.0
2021071304011398,EIC,57,28,64,749.0,47936.0
2021071304011394,EIC,57,54,36,749.0,26964.0
2021071304011724,GHL,17,45,10,299.0,2990.0
2021071304011633,GHL,32,35,250,295.0,73750.0
2021071304011632,GHL,45,35,150,296.0,44400.0
2021071304011570,GHL,16,58,300,297.0,89100.0
2021071304011784,GIMES1,48,6,"14,000",19.6,274400.0
2021071304011705,GLH,6,26,169,358.0,60502.0
2021071304011704,GLH,38,26,320,358.0,114560.0
2021071304011703,GLH,33,26,11,359.0,3949.0
2021071304011498,GLH,33,58,10,359.0,3590.0
2021071304011551,HDHPC,38,25,568,277.0,157336.0
2021071304011550,HDHPC,29,25,432,277.0,119664.0
2021071304011521,HDHPC,4,45,200,278.0,55600.0
2021071304011497,HDHPC,58,45,100,278.0,27800.0
2021071304011443,HDHPC,29,26,568,277.0,157336.0
2021071304011442,HDHPC,58,26,10,277.0,2770.0
2021071304011441,HDHPC,49,26,30,277.0,8310.0
2021071304011440,HDHPC,48,26,200,277.0,55400.0
2021071304011413,HDHPC,54,45,127,277.0,35179.0
2021071304011361,HDHPC,29,45,100,278.0,27800.0
2021071304011676,HGI,45,44,200,760.0,152000.0
2021071304011568,HGI,29,44,70,760.0,53200.0
2021071304011770,HPPL,14,1,24,420.0,10080.0
2021071304011629,HPPL,14,1,76,420.0,31920.0
2021071304011628,HPPL,14,42,14,419.0,5866.0
2021071304011627,HPPL,14,26,10,415.0,4150.0
2021071304011433,HPPL,34,42,40,407.0,16280.0
2021071304011389,HPPL,42,42,36,420.0,15120.0
2021071304011382,HPPL,42,58,34,420.0,14280.0
2021071304011381,HPPL,42,52,245,419.0,102655.0
2021071304011380,HPPL,42,34,20,418.0,8360.0
2021071304011379,HPPL,42,22,50,415.0,20750.0
2021071304011388,HPPL,42,43,20,420.0,8400.0
2021071304011387,HPPL,42,51,20,420.0,8400.0
2021071304011386,HPPL,42,25,50,420.0,21000.0
2021071304011385,HPPL,42,37,240,420.0,100800.0
2021071304011384,HPPL,42,37,485,420.0,203700.0
2021071304011383,HPPL,42,29,800,420.0,336000.0
2021071304011539,HURJA,49,44,50,358.0,17900.0
2021071304011654,IGI,56,42,60,1210.0,72600.0
2021071304011653,IGI,56,52,40,1205.0,48200.0
2021071304011373,IGI,6,52,10,1211.0,12110.0
2021071304011743,JOSHI,57,57,80,283.0,22640.0
2021071304011541,KKHC,6,45,68,270.0,18360.0
2021071304011540,KKHC,45,45,32,270.0,8640.0
2021071304011491,KKHC,45,14,82,270.0,22140.0
2021071304011490,KKHC,49,14,10,271.0,2710.0
2021071304011372,KKHC,49,34,10,271.0,2710.0
2021071305000035,KLBSL,14,51,20,1727.0,34540.0
