Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2021010703018355,ALBSL,34,41,11,1224.0,13464.0
2021010703018124,ALBSL,59,46,26,1215.0,31590.0
2021010703018046,ALBSL,59,41,11,1215.0,13365.0
2021010703018045,ALBSL,59,45,250,1215.0,303750.0
2021010703018323,ALICL,56,50,170,964.0,163880.0
2021010703018322,ALICL,28,50,200,964.0,192800.0
2021010703018317,ALICL,26,10,250,965.0,241250.0
2021010703018215,ALICL,38,10,100,965.0,96500.0
2021010703018058,ALICL,41,10,100,965.0,96500.0
2021010703018057,ALICL,33,10,20,965.0,19300.0
2021010703017962,ALICL,32,10,20,965.0,19300.0
2021010703017961,ALICL,59,10,966,965.0,932190.0
2021010703018161,BBC,6,36,10,2805.0,28050.0
2021010703017930,BBC,6,25,10,2800.0,28000.0
2021010703018382,BFC,47,40,20,140.0,2800.0
2021010703017975,BFC,59,57,20,138.0,2760.0
2021010703018073,CFCL,33,38,100,172.0,17200.0
2021010703018354,CIT,34,41,23,3400.0,78200.0
2021010703018348,CIT,45,41,20,3400.0,68000.0
2021010703018314,CIT,6,41,50,3400.0,170000.0
2021010703018122,CIT,6,45,20,3399.0,67980.0
2021010703018080,CIT,34,42,13,3398.0,44174.0
2021010703017942,CIT,58,41,50,3400.0,170000.0
2021010703017934,CIT,33,41,50,3400.0,170000.0
2021010703018380,CLBSL,28,34,30,903.0,27090.0
2021010703018252,CLBSL,28,34,150,903.0,135450.0
2021010703018251,CLBSL,28,34,20,903.0,18060.0
2021010703018175,CLBSL,28,29,180,903.0,162540.0
2021010703018174,CLBSL,52,29,20,904.0,18080.0
2021010703018043,CLBSL,21,54,113,905.0,102265.0
2021010703018042,CLBSL,21,34,50,905.0,45250.0
2021010703018041,CLBSL,21,53,18,905.0,16290.0
2021010703018040,CLBSL,21,33,19,905.0,17195.0
2021010703018264,CMF1,43,54,100,10.1,1010.0
2021010703018101,CMF2,43,26,100,10.0,1000.0
2021010703018100,CMF2,43,22,200,9.87,1974.0
2021010703018369,CORBL,13,13,10,234.0,2340.0
2021010703018178,DDBL,57,7,120,1458.0,174960.0
2021010703018152,DDBL,45,11,25,1457.0,36425.0
2021010703017940,DDBL,41,59,20,1455.0,29100.0
2021010703017939,DDBL,34,59,30,1456.0,43680.0
2021010703017917,DDBL,34,45,300,1456.0,436800.0
2021010703018200,FMDBL,41,35,200,602.0,120400.0
2021010703018191,FMDBL,49,35,355,598.0,212290.0
2021010703018190,FMDBL,22,35,100,598.0,59800.0
2021010703018189,FMDBL,53,35,20,598.0,11960.0
2021010703018188,FMDBL,53,35,20,598.0,11960.0
2021010703018187,FMDBL,53,35,30,598.0,17940.0
2021010703018132,FMDBL,49,48,200,600.0,120000.0
2021010703018131,FMDBL,49,35,25,600.0,15000.0
2021010703018093,FMDBL,37,35,100,600.0,60000.0
2021010703018186,FMDBL,44,35,400,598.0,239200.0
2021010703018185,FMDBL,48,35,300,598.0,179400.0
2021010703018184,FMDBL,58,35,100,599.0,59900.0
2021010703018183,FMDBL,26,35,200,599.0,119800.0
2021010703018182,FMDBL,57,35,50,599.0,29950.0
2021010703018181,FMDBL,49,35,425,600.0,255000.0
2021010703018134,FOWAD,41,41,20,2327.0,46540.0
2021010703018133,FOWAD,7,41,40,2328.0,93120.0
2021010703018123,FOWAD,7,6,10,2327.0,23270.0
2021010703018107,FOWAD,58,6,90,2327.0,209430.0
2021010703018060,FOWAD,58,22,10,2327.0,23270.0
2021010703018034,FOWAD,29,51,55,2327.0,127985.0
2021010703017941,FOWAD,29,7,40,2327.0,93080.0
2021010703018315,GBBL,4,58,"2,000",316.0,632000.0
2021010703018218,GBBL,49,19,100,317.0,31700.0
2021010703017923,GBBL,16,19,70,317.0,22190.0
2021010703018347,GBLBS,42,37,100,609.0,60900.0
2021010703018265,GBLBS,38,19,200,608.0,121600.0
2021010703018261,GBLBS,22,37,10,609.0,6090.0
2021010703018159,GBLBS,53,37,90,609.0,54810.0
2021010703018054,GBLBS,53,37,90,609.0,54810.0
2021010703017964,GBLBS,58,37,40,609.0,24360.0
2021010703017963,GBLBS,58,57,15,608.0,9120.0
2021010703018068,GFCL,42,22,150,195.0,29250.0
2021010703018176,GILB,38,42,14,1422.0,19908.0
2021010703018393,GMFBS,58,10,100,1170.0,117000.0
2021010703018392,GMFBS,28,10,500,1171.0,585500.0
2021010703018391,GMFBS,25,10,10,1175.0,11750.0
2021010703018390,GMFBS,59,10,50,1175.0,58750.0
2021010703018389,GMFBS,49,10,230,1175.0,270250.0
2021010703018388,GMFBS,49,10,90,1176.0,105840.0
2021010703018079,GRDBL,37,42,50,155.0,7750.0
2021010703018078,GRDBL,37,42,210,155.0,32550.0
2021010703018327,GUFL,37,32,249,226.0,56274.0
2021010703018326,GUFL,37,32,200,226.0,45200.0
2021010703018325,GUFL,37,45,39,226.0,8814.0
2021010703018324,GUFL,37,4,18,225.0,4050.0
2021010703018306,GUFL,20,57,300,225.0,67500.0
2021010703017992,GUFL,33,45,11,226.0,2486.0
2021010703017991,GUFL,33,53,23,226.0,5198.0
2021010703017990,GUFL,33,17,100,225.0,22500.0
2021010703017989,GUFL,33,38,66,225.0,14850.0
2021010703017938,GUFL,32,38,200,225.0,45000.0
2021010703018358,HIDCL,56,37,"1,800",267.0,480600.0
2021010703018357,HIDCL,56,56,200,266.0,53200.0
2021010703018356,HIDCL,56,41,"1,000",266.0,266000.0
2021010703018156,HIDCL,11,57,22,265.0,5830.0
2021010703018077,HIDCL,35,57,250,265.0,66250.0
2021010703018028,HIDCL,38,57,50,265.0,13250.0
2021010703018003,HIDCL,55,57,100,265.0,26500.0
2021010703018002,HIDCL,32,57,100,265.0,26500.0
2021010703018001,HIDCL,50,57,100,265.0,26500.0
2021010703018000,HIDCL,36,57,365,265.0,96725.0
2021010703018009,HIDCL,58,57,50,265.0,13250.0
2021010703018008,HIDCL,11,57,100,265.0,26500.0
2021010703018007,HIDCL,1,57,30,265.0,7950.0
2021010703018006,HIDCL,36,57,200,265.0,53000.0
2021010703018005,HIDCL,45,57,33,265.0,8745.0
2021010703018004,HIDCL,57,57,100,265.0,26500.0
2021010703018379,ILBS,10,19,10,1135.0,11350.0
2021010703018377,ILBS,34,36,11,1130.0,12430.0
2021010703018072,ILBS,34,41,14,1130.0,15820.0
2021010703017999,ILBS,34,41,11,1130.0,12430.0
2021010703017929,ILBS,34,41,10,1130.0,11300.0
2021010703017918,ILBS,34,41,44,1130.0,49720.0
2021010703018343,JBBL,34,38,995,230.0,228850.0
2021010703018342,JBBL,57,38,100,230.0,23000.0
2021010703018341,JBBL,4,38,200,230.0,46000.0
2021010703018340,JBBL,49,38,50,230.0,11500.0
2021010703018339,JBBL,21,38,20,230.0,4600.0
2021010703018338,JBBL,59,38,500,230.0,115000.0
2021010703018018,JBBL,34,45,20,232.0,4640.0
2021010703017919,JBBL,14,45,500,232.0,116000.0
2021010703018088,JBBL,16,34,200,231.0,46200.0
2021010703018087,JBBL,53,34,250,231.0,57750.0
2021010703018086,JBBL,34,34,500,231.0,115500.0
2021010703018085,JBBL,1,34,721,231.0,166551.0
2021010703018037,JBBL,55,45,"1,000",232.0,232000.0
2021010703018030,JBBL,49,45,150,232.0,34800.0
2021010703018260,JBBL,38,34,"4,029",231.0,930699.0
2021010703018136,JBBL,38,34,"1,000",231.0,231000.0
2021010703018092,JBBL,22,34,100,231.0,23100.0
2021010703018091,JBBL,34,34,550,231.0,127050.0
2021010703018090,JBBL,49,34,200,231.0,46200.0
2021010703018089,JBBL,38,34,500,231.0,115500.0
2021010703018337,JBBL,58,38,30,230.0,6900.0
2021010703018336,JBBL,50,38,30,230.0,6900.0
2021010703018335,JBBL,38,38,500,230.0,115000.0
2021010703018334,JBBL,38,38,400,230.0,92000.0
2021010703018333,JBBL,11,38,100,231.0,23100.0
2021010703018332,JBBL,34,38,75,231.0,17325.0
2021010703018302,JFL,51,39,500,251.0,125500.0
2021010703018301,JFL,13,39,50,251.0,12550.0
2021010703018300,JFL,45,39,500,251.0,125500.0
2021010703018299,JFL,35,39,500,251.0,125500.0
2021010703018298,JFL,26,39,50,252.0,12600.0
2021010703018297,JFL,14,39,100,252.0,25200.0
2021010703018149,JFL,44,54,50,256.0,12800.0
2021010703018148,JFL,44,49,20,256.0,5120.0
2021010703018147,JFL,44,8,911,256.0,233216.0
2021010703018296,JFL,29,39,190,252.0,47880.0
2021010703018295,JFL,54,39,200,252.0,50400.0
2021010703018294,JFL,59,39,590,252.0,148680.0
2021010703018293,JFL,45,39,300,253.0,75900.0
