Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2021011203016644,ALICL,18,38,200,1021.0,204200.0
2021011203016377,ALICL,56,38,10,1021.0,10210.0
2021011203016369,ALICL,55,38,100,1021.0,102100.0
2021011203016296,ALICL,34,16,64,1023.0,65472.0
2021011203016295,ALICL,34,29,10,1023.0,10230.0
2021011203016294,ALICL,34,51,26,1023.0,26598.0
2021011203016273,ALICL,34,51,50,1023.0,51150.0
2021011203016272,ALICL,34,44,100,1022.0,102200.0
2021011203016271,ALICL,34,43,50,1022.0,51100.0
2021011203016233,ALICL,34,43,200,1022.0,204400.0
2021011203016229,ALICL,21,17,10,1020.0,10200.0
2021011203016535,BFC,57,42,200,143.0,28600.0
2021011203016367,BFC,21,42,40,143.0,5720.0
2021011203016262,CBBL,49,6,15,1234.0,18510.0
2021011203016241,CBBL,35,6,530,1232.0,652960.0
2021011203016240,CBBL,56,6,200,1232.0,246400.0
2021011203016239,CBBL,39,6,100,1233.0,123300.0
2021011203016199,CBBL,52,50,50,1237.0,61850.0
2021011203016646,CIT,26,41,10,3441.0,34410.0
2021011203016606,CIT,8,41,10,3441.0,34410.0
2021011203016370,CIT,58,41,29,3436.0,99644.0
2021011203016365,CIT,41,41,100,3441.0,344100.0
2021011203016301,CIT,41,41,10,3437.0,34370.0
2021011203016300,CIT,26,41,27,3441.0,92907.0
2021011203016299,CIT,26,55,23,3441.0,79143.0
2021011203016276,CMF2,43,57,100,10.2,1020.0
2021011203016196,CORBL,34,33,10,310.0,3100.0
2021011203016612,DDBL,50,13,10,1475.0,14750.0
2021011203016366,DDBL,45,33,68,1474.0,100232.0
2021011203016298,DDBL,50,33,82,1474.0,120868.0
2021011203016285,DDBL,50,44,18,1474.0,26532.0
2021011203016284,DDBL,40,44,82,1474.0,120868.0
2021011203016211,DDBL,6,13,37,1475.0,54575.0
2021011203016210,DDBL,6,50,50,1475.0,73750.0
2021011203016209,DDBL,6,22,25,1475.0,36875.0
2021011203016208,DDBL,6,45,62,1475.0,91450.0
2021011203016207,DDBL,6,45,26,1475.0,38350.0
2021011203016327,EDBL,16,43,50,369.0,18450.0
2021011203016326,EDBL,16,10,160,369.0,59040.0
2021011203016562,FMDBL,25,57,30,632.0,18960.0
2021011203016382,FOWAD,44,42,50,2288.0,114400.0
2021011203016381,FOWAD,26,42,20,2288.0,45760.0
2021011203016575,GBBL,45,4,365,325.0,118625.0
2021011203016520,GBLBS,33,19,100,619.0,61900.0
2021011203016519,GBLBS,25,19,100,619.0,61900.0
2021011203016518,GBLBS,3,19,85,619.0,52615.0
2021011203016460,GBLBS,17,45,285,620.0,176700.0
2021011203016459,GBLBS,17,34,15,620.0,9300.0
2021011203016174,GBLBS,3,42,15,618.0,9270.0
2021011203016557,GFCL,39,11,10,207.0,2070.0
2021011203016397,GFCL,51,25,50,206.0,10300.0
2021011203016396,GFCL,51,25,50,206.0,10300.0
2021011203016384,GFCL,51,21,700,206.0,144200.0
2021011203016483,GILB,38,37,30,1439.0,43170.0
2021011203016604,GLICL,50,1,400,647.0,258800.0
