Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2021041905005256,JLI,49,38,10,683.0,6830.0
2021041905005153,JLI,49,20,10,683.0,6830.0
2021041905005144,JLI,49,40,10,683.0,6830.0
2021041905005142,JLI,49,22,10,683.0,6830.0
2021041905005121,JLI,49,22,10,683.0,6830.0
2021041905005086,JLI,49,56,10,683.0,6830.0
2021041905005066,JLI,49,20,10,683.0,6830.0
2021041905004984,JLI,49,54,10,683.0,6830.0
2021041905004973,JLI,49,20,10,683.0,6830.0
2021041905004955,JLI,49,20,10,683.0,6830.0
2021041905004931,JLI,49,5,10,683.0,6830.0
2021041905004879,JLI,49,54,10,683.0,6830.0
2021041905004891,MLBSL,59,21,10,1460.0,14600.0
2021041905005259,NICLBSL,42,57,31,1849.0,57319.0
2021041905005258,NICLBSL,42,49,10,1849.0,18490.0
2021041905005257,NICLBSL,42,39,10,1849.0,18490.0
2021041905005255,NICLBSL,45,57,60,1850.0,111000.0
2021041905005254,NICLBSL,45,38,120,1850.0,222000.0
2021041905005253,NICLBSL,45,13,20,1850.0,37000.0
2021041905004760,NICLBSL,39,21,10,1846.0,18460.0
2021041905004766,NICLBSL,39,21,10,1846.0,18460.0
2021041905004765,NICLBSL,39,21,10,1846.0,18460.0
2021041905004764,NICLBSL,25,25,6,1846.0,11076.0
2021041905004763,NICLBSL,39,3,20,1846.0,36920.0
2021041905004762,NICLBSL,39,21,10,1846.0,18460.0
2021041905004761,NICLBSL,39,38,10,1846.0,18460.0
2021041905004772,NICLBSL,33,33,40,1846.0,73840.0
2021041905004771,NICLBSL,38,33,10,1846.0,18460.0
2021041905004770,NICLBSL,47,33,10,1846.0,18460.0
2021041905004769,NICLBSL,34,33,10,1846.0,18460.0
2021041905004768,NICLBSL,39,33,110,1846.0,203060.0
2021041905004767,NICLBSL,50,50,10,1847.0,18470.0
2021041905004778,NICLBSL,40,20,10,1845.0,18450.0
2021041905004777,NICLBSL,40,21,10,1845.0,18450.0
2021041905004776,NICLBSL,42,33,28,1846.0,51688.0
2021041905004775,NICLBSL,44,33,20,1846.0,36920.0
2021041905004774,NICLBSL,17,33,15,1846.0,27690.0
2021041905004773,NICLBSL,33,33,60,1846.0,110760.0
2021041905004784,NICLBSL,3,43,10,1846.0,18460.0
2021041905004783,NICLBSL,21,21,10,1845.0,18450.0
2021041905004782,NICLBSL,40,28,10,1845.0,18450.0
2021041905004781,NICLBSL,40,21,10,1845.0,18450.0
2021041905004780,NICLBSL,1,33,30,1846.0,55380.0
2021041905004779,NICLBSL,40,10,10,1845.0,18450.0
2021041905004790,NICLBSL,3,33,7,1846.0,12922.0
2021041905004789,NICLBSL,3,52,10,1846.0,18460.0
