Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2021040705000120,NICLBSL,47,38,20,1278.0,25560.0
2021040705000119,NICLBSL,47,8,10,1278.0,12780.0
2021040705000118,MLBSL,33,58,10,925.0,9250.0
2021040705000117,MLBSL,33,47,10,925.0,9250.0
2021040705000116,NICLBSL,47,36,10,1278.0,12780.0
2021040705000115,NICLBSL,47,1,10,1278.0,12780.0
2021040705000114,NICLBSL,47,45,10,1278.0,12780.0
2021040705000113,MLBSL,49,22,10,908.0,9080.0
2021040705000112,NICLBSL,47,52,10,1278.0,12780.0
2021040705000111,NICLBSL,47,51,10,1278.0,12780.0
2021040705000110,NICLBSL,47,51,10,1278.0,12780.0
2021040705000109,NICLBSL,47,51,10,1278.0,12780.0
2021040705000108,NICLBSL,47,42,10,1278.0,12780.0
2021040705000107,NICLBSL,47,51,10,1278.0,12780.0
2021040705000106,NICLBSL,47,42,10,1278.0,12780.0
2021040705000105,NICLBSL,47,42,10,1278.0,12780.0
2021040705000104,NICLBSL,47,57,10,1278.0,12780.0
2021040705000103,NICLBSL,47,41,10,1278.0,12780.0
2021040705000102,NICLBSL,47,42,20,1278.0,25560.0
2021040705000101,NICLBSL,47,57,20,1278.0,25560.0
2021040705000100,NICLBSL,47,42,20,1278.0,25560.0
2021040705000099,NICLBSL,47,41,31,1278.0,39618.0
2021040705000098,NICLBSL,47,36,12,1278.0,15336.0
2021040705000097,NICLBSL,47,58,10,1278.0,12780.0
2021040705000096,NICLBSL,47,56,10,1278.0,12780.0
2021040705000095,NICLBSL,47,55,10,1278.0,12780.0
2021040705000094,NICLBSL,47,5,12,1278.0,15336.0
2021040705000093,NICLBSL,47,44,10,1278.0,12780.0
2021040705000092,NICLBSL,47,44,10,1278.0,12780.0
2021040705000091,NICLBSL,47,58,10,1278.0,12780.0
2021040705000090,NICLBSL,47,38,10,1278.0,12780.0
2021040705000089,NICLBSL,47,28,10,1278.0,12780.0
2021040705000088,MLBSL,25,59,10,891.0,8910.0
2021040705000087,NICLBSL,47,17,10,1278.0,12780.0
2021040705000086,NICLBSL,47,17,10,1278.0,12780.0
2021040705000085,NICLBSL,47,6,10,1278.0,12780.0
2021040705000084,NICLBSL,47,52,10,1278.0,12780.0
2021040705000083,NICLBSL,47,37,20,1278.0,25560.0
2021040705000082,NICLBSL,56,22,2,1278.0,2556.0
2021040705000081,NICLBSL,47,53,10,1278.0,12780.0
2021040705000080,NICLBSL,47,35,10,1278.0,12780.0
2021040705000079,NICLBSL,47,32,26,1278.0,33228.0
2021040705000078,NICLBSL,47,58,10,1278.0,12780.0
2021040705000077,NICLBSL,47,36,10,1278.0,12780.0
2021040705000076,MLBSL,47,56,10,874.0,8740.0
2021040705000075,NICLBSL,47,36,10,1278.0,12780.0
2021040705000074,NICLBSL,47,36,10,1278.0,12780.0
2021040705000073,NICLBSL,47,36,10,1278.0,12780.0
2021040705000072,NICLBSL,47,32,26,1278.0,33228.0
2021040705000071,NICLBSL,47,36,10,1278.0,12780.0
2021040705000070,NICLBSL,47,36,10,1278.0,12780.0
2021040705000069,NICLBSL,47,36,10,1278.0,12780.0
2021040705000068,NICLBSL,47,36,10,1278.0,12780.0
2021040705000067,NICLBSL,47,36,10,1278.0,12780.0
2021040705000066,NICLBSL,47,36,10,1278.0,12780.0
2021040705000065,NICLBSL,47,36,10,1278.0,12780.0
2021040705000064,NICLBSL,47,36,10,1278.0,12780.0
2021040705000063,NICLBSL,47,36,10,1278.0,12780.0
2021040705000062,NICLBSL,47,36,10,1278.0,12780.0
2021040705000061,NICLBSL,47,36,10,1278.0,12780.0
2021040705000060,NICLBSL,47,36,20,1278.0,25560.0
2021040705000059,NICLBSL,47,36,20,1278.0,25560.0
2021040705000058,NICLBSL,47,33,10,1278.0,12780.0
2021040705000057,NICLBSL,47,36,20,1278.0,25560.0
2021040705000056,NICLBSL,47,36,10,1278.0,12780.0
2021040705000055,NICLBSL,47,36,10,1278.0,12780.0
2021040705000054,NICLBSL,47,36,10,1278.0,12780.0
2021040705000053,NICLBSL,47,34,20,1278.0,25560.0
2021040705000052,NICLBSL,47,38,10,1278.0,12780.0
2021040705000051,NICLBSL,47,49,10,1278.0,12780.0
2021040705000050,NICLBSL,47,36,10,1278.0,12780.0
2021040705000049,NICLBSL,47,40,20,1278.0,25560.0
2021040705000048,NICLBSL,47,38,10,1278.0,12780.0
2021040705000047,NICLBSL,47,1,10,1278.0,12780.0
2021040705000046,NICLBSL,47,38,10,1278.0,12780.0
2021040705000045,NICLBSL,47,35,10,1278.0,12780.0
2021040705000044,NICLBSL,47,50,10,1278.0,12780.0
2021040705000043,NICLBSL,47,38,10,1278.0,12780.0
2021040705000042,NICLBSL,47,59,10,1278.0,12780.0
2021040705000041,NICLBSL,47,52,10,1278.0,12780.0
2021040705000040,NICLBSL,47,38,10,1278.0,12780.0
2021040705000039,NICLBSL,47,39,10,1278.0,12780.0
2021040705000038,NICLBSL,47,1,10,1278.0,12780.0
2021040705000037,NICLBSL,47,49,20,1278.0,25560.0
2021040705000036,NICLBSL,47,1,10,1278.0,12780.0
2021040705000035,NICLBSL,47,42,10,1278.0,12780.0
2021040705000034,NICLBSL,47,14,10,1278.0,12780.0
2021040705000033,NICLBSL,47,34,100,1278.0,127800.0
2021040705000032,NICLBSL,47,42,10,1278.0,12780.0
2021040705000031,NICLBSL,47,47,10,1278.0,12780.0
2021040705000030,NICLBSL,47,42,10,1278.0,12780.0
2021040705000029,NICLBSL,47,47,10,1278.0,12780.0
2021040705000028,NICLBSL,47,34,10,1278.0,12780.0
2021040705000027,NICLBSL,47,51,10,1278.0,12780.0
2021040705000026,NICLBSL,47,1,10,1278.0,12780.0
2021040705000025,NICLBSL,47,41,10,1278.0,12780.0
2021040705000024,NICLBSL,47,47,10,1278.0,12780.0
2021040705000023,NICLBSL,47,22,10,1278.0,12780.0
2021040705000022,NICLBSL,47,52,20,1278.0,25560.0
2021040705000021,NICLBSL,47,56,10,1278.0,12780.0
2021040705000020,NICLBSL,47,18,10,1278.0,12780.0
2021040705000019,NICLBSL,47,56,10,1278.0,12780.0
2021040705000018,NICLBSL,47,17,10,1278.0,12780.0
2021040705000017,NICLBSL,47,42,10,1278.0,12780.0
2021040705000016,NICLBSL,47,14,10,1278.0,12780.0
2021040705000015,NICLBSL,47,56,10,1278.0,12780.0
2021040705000014,NICLBSL,47,25,10,1278.0,12780.0
2021040705000013,NICLBSL,47,56,10,1278.0,12780.0
2021040705000012,NICLBSL,47,56,10,1278.0,12780.0
2021040705000011,NICLBSL,47,1,10,1278.0,12780.0
2021040705000010,NICLBSL,47,14,10,1278.0,12780.0
2021040705000009,NICLBSL,47,45,10,1278.0,12780.0
2021040705000008,MLBSL,48,7,10,857.0,8570.0
2021040705000007,NICLBSL,47,54,10,1278.0,12780.0
2021040705000006,NICLBSL,47,38,10,1278.0,12780.0
2021040705000005,NICLBSL,47,41,10,1278.0,12780.0
2021040705000004,NICLBSL,47,49,10,1268.0,12680.0
2021040705000003,NICLBSL,41,41,10,1244.0,12440.0
2021040705000002,NICLBSL,42,21,10,1220.0,12200.0
2021040705000001,NICLBSL,42,11,10,1220.0,12200.0
2021040704034186,STC,59,38,10,11298.0,112980.0
2021040704034185,SJCL,36,16,"1,000",490.0,490000.0
2021040704034184,UPCL,45,48,100,181.0,18100.0
2021040704034183,CGH,35,38,10,2578.0,25780.0
2021040704034182,UPPER,50,37,10,891.0,8910.0
2021040704034181,KKHC,45,45,198,138.0,27324.0
