Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2021091505018010,JBLB,18,48,10,4515.0,45150.0
2021091505018027,JBLB,34,51,10,4512.0,45120.0
2021091505018031,JBLB,21,42,10,4506.0,45060.0
2021091505018046,JBLB,21,33,90,4506.0,405540.0
2021091505018090,JBLB,36,33,10,4506.0,45060.0
2021091505018108,JBLB,1,56,10,4507.0,45070.0
2021091505018138,JBLB,57,50,10,4508.0,45080.0
2021091505018163,JBLB,1,21,10,4507.0,45070.0
2021091505018162,JBLB,1,8,10,4507.0,45070.0
2021091505018216,JBLB,58,38,10,4508.0,45080.0
2021091505018213,JBLB,39,38,20,4508.0,90160.0
2021091505018211,JBLB,34,38,10,4508.0,45080.0
2021091505018241,JBLB,36,38,15,4508.0,67620.0
2021091505018245,JBLB,36,49,10,4510.0,45100.0
2021091505018243,JBLB,36,51,10,4510.0,45100.0
2021091505018242,JBLB,36,14,10,4510.0,45100.0
2021091505018281,JBLB,6,58,10,4510.0,45100.0
2021091505018299,JBLB,59,29,10,4510.0,45100.0
2021091505018308,JBLB,59,4,10,4510.0,45100.0
2021091505018330,JBLB,42,41,10,4511.0,45110.0
2021091505018327,JBLB,42,29,10,4511.0,45110.0
2021091505018339,JBLB,59,29,10,4510.0,45100.0
2021091505018362,JBLB,42,39,10,4511.0,45110.0
2021091505018371,JBLB,59,58,10,4510.0,45100.0
2021091505018378,JBLB,59,14,10,4510.0,45100.0
2021091505018380,JBLB,59,50,10,4510.0,45100.0
2021091505018387,JBLB,59,58,10,4510.0,45100.0
2021091505018422,JBLB,59,21,10,4510.0,45100.0
2021091505018416,JBLB,58,42,10,4511.0,45110.0
2021091505018438,SLI,53,32,10,699.0,6990.0
2021091505018437,SLI,53,38,10,699.0,6990.0
2021091505018435,SLI,53,39,10,699.0,6990.0
2021091505018434,SLI,53,49,10,699.0,6990.0
2021091505018433,SLI,42,3,10,699.5,6995.0
2021091505018432,SLI,42,43,10,699.4,6994.0
2021091505017944,SLI,42,57,10,699.0,6990.0
2021091505017943,SLI,42,20,10,699.0,6990.0
2021091505017942,SLI,42,41,10,699.0,6990.0
2021091505017941,SLI,42,11,10,699.0,6990.0
2021091505017940,SLI,42,1,10,699.0,6990.0
2021091505017939,SLI,42,35,10,699.0,6990.0
2021091505018009,SLI,45,58,10,699.9,6999.0
2021091505018008,SLI,45,1,10,699.9,6999.0
2021091505018007,SLI,45,57,10,699.9,6999.0
2021091505017948,SLI,45,49,10,699.9,6999.0
2021091505017945,SLI,42,38,10,699.0,6990.0
2021091505018017,SLI,45,45,10,699.9,6999.0
2021091505018015,SLI,22,11,10,700.0,7000.0
2021091505018014,SLI,22,59,10,700.0,7000.0
2021091505018013,SLI,22,49,10,700.0,7000.0
2021091505018012,SLI,22,48,10,700.0,7000.0
2021091505018011,SLI,22,4,10,700.0,7000.0
2021091505018025,SLI,42,57,10,699.0,6990.0
2021091505018024,SLI,42,49,10,699.0,6990.0
2021091505018022,SLI,45,11,10,699.9,6999.0
2021091505018020,SLI,45,38,10,699.9,6999.0
2021091505018019,SLI,45,35,10,699.9,6999.0
2021091505018033,SLI,48,35,10,699.0,6990.0
2021091505018032,SLI,48,58,10,699.0,6990.0
2021091505018030,SLI,43,11,10,699.9,6999.0
2021091505018029,SLI,48,49,10,699.0,6990.0
2021091505018028,SLI,17,49,10,699.0,6990.0
2021091505018041,SLI,55,1,10,699.0,6990.0
2021091505018040,SLI,55,46,10,699.0,6990.0
2021091505018039,SLI,55,54,10,699.0,6990.0
2021091505018038,SLI,48,58,10,699.0,6990.0
2021091505018035,SLI,48,49,10,699.0,6990.0
2021091505018034,SLI,48,57,10,699.0,6990.0
2021091505018048,SLI,55,42,10,699.0,6990.0
2021091505018047,SLI,55,35,10,699.0,6990.0
2021091505018045,SLI,55,47,10,699.0,6990.0
2021091505018043,SLI,55,57,10,699.0,6990.0
2021091505018042,SLI,55,11,10,699.0,6990.0
2021091505018060,SLI,45,20,10,699.5,6995.0
2021091505018059,SLI,45,54,10,699.5,6995.0
2021091505018053,SLI,45,58,10,699.0,6990.0
2021091505018051,SLI,58,38,10,698.5,6985.0
2021091505018050,SLI,55,57,10,699.0,6990.0
2021091505018049,SLI,55,1,10,699.0,6990.0
2021091505018066,SLI,8,57,10,699.9,6999.0
2021091505018065,SLI,8,35,10,699.8,6998.0
2021091505018064,SLI,45,35,10,699.5,6995.0
2021091505018063,SLI,45,57,10,699.5,6995.0
2021091505018062,SLI,45,38,10,699.5,6995.0
2021091505018061,SLI,58,48,10,699.9,6999.0
2021091505018072,SLI,45,34,10,699.5,6995.0
2021091505018071,SLI,8,49,10,700.0,7000.0
2021091505018070,SLI,8,49,10,700.0,7000.0
2021091505018069,SLI,8,52,10,699.9,6999.0
2021091505018068,SLI,8,29,10,699.9,6999.0
2021091505018067,SLI,8,34,10,699.9,6999.0
2021091505018079,SLI,45,58,10,699.5,6995.0
2021091505018078,SLI,45,28,10,699.5,6995.0
2021091505018077,SLI,45,1,10,699.5,6995.0
2021091505018076,SLI,45,57,10,699.5,6995.0
2021091505018075,SLI,45,13,10,699.5,6995.0
2021091505018073,SLI,45,5,10,699.5,6995.0
2021091505018085,SLI,45,57,10,699.5,6995.0
2021091505018084,SLI,45,21,10,699.5,6995.0
2021091505018083,SLI,45,56,10,699.5,6995.0
2021091505018082,SLI,45,58,10,699.5,6995.0
2021091505018081,SLI,45,21,10,699.5,6995.0
2021091505018080,SLI,45,29,10,699.5,6995.0
2021091505018091,SLI,45,53,10,699.5,6995.0
2021091505018089,SLI,45,38,10,699.5,6995.0
2021091505018088,SLI,45,38,10,699.5,6995.0
2021091505018087,SLI,45,49,10,699.5,6995.0
2021091505018086,SLI,45,58,10,699.5,6995.0
2021091505018097,SLI,58,21,10,699.9,6999.0
2021091505018096,SLI,58,58,10,699.9,6999.0
2021091505018095,SLI,45,49,10,699.5,6995.0
2021091505018094,SLI,45,47,10,699.5,6995.0
2021091505018093,SLI,45,25,10,699.5,6995.0
2021091505018092,SLI,45,32,10,699.5,6995.0
2021091505018105,SLI,45,58,10,699.5,6995.0
2021091505018103,SLI,45,21,10,699.5,6995.0
2021091505018101,SLI,45,58,10,699.5,6995.0
2021091505018100,SLI,45,11,10,699.5,6995.0
2021091505018099,SLI,45,35,10,699.5,6995.0
2021091505018098,SLI,45,38,10,699.5,6995.0
2021091505018111,SLI,45,58,10,699.5,6995.0
2021091505018110,SLI,45,34,10,699.5,6995.0
2021091505018109,SLI,45,38,10,699.5,6995.0
2021091505018107,SLI,45,25,10,699.5,6995.0
2021091505018106,SLI,45,42,10,699.5,6995.0
2021091505018117,SLI,45,47,10,699.5,6995.0
2021091505018116,SLI,45,8,10,699.5,6995.0
2021091505018115,SLI,45,57,10,699.5,6995.0
2021091505018114,SLI,45,29,10,699.5,6995.0
2021091505018113,SLI,45,8,10,699.5,6995.0
2021091505018112,SLI,45,43,10,699.5,6995.0
2021091505018124,SLI,45,51,10,699.5,6995.0
2021091505018123,SLI,22,11,10,699.6,6996.0
2021091505018122,SLI,45,38,10,699.5,6995.0
2021091505018121,SLI,11,35,10,699.8,6998.0
2021091505018119,SLI,57,58,10,699.6,6996.0
2021091505018118,SLI,45,46,10,699.5,6995.0
2021091505018137,SLI,42,42,10,699.5,6995.0
2021091505018136,SLI,42,49,10,699.5,6995.0
2021091505018134,SLI,55,59,10,699.0,6990.0
2021091505018131,SLI,55,14,10,699.0,6990.0
2021091505018126,SLI,45,58,10,699.5,6995.0
2021091505018125,SLI,45,7,10,699.5,6995.0
2021091505018145,SLI,42,7,10,699.5,6995.0
2021091505018144,SLI,55,43,10,699.0,6990.0
2021091505018143,SLI,55,11,10,699.0,6990.0
2021091505018142,SLI,55,38,10,699.0,6990.0
2021091505018139,SLI,55,56,10,699.0,6990.0
2021091505018151,SLI,42,22,10,699.5,6995.0
2021091505018150,SLI,42,34,10,699.5,6995.0
2021091505018149,SLI,42,48,10,699.5,6995.0
2021091505018148,SLI,42,49,10,699.5,6995.0
2021091505018147,SLI,42,58,10,699.5,6995.0
2021091505018146,SLI,42,17,10,699.5,6995.0
2021091505018158,SLI,29,58,10,699.9,6999.0
2021091505018157,SLI,29,57,10,699.9,6999.0
2021091505018156,SLI,29,58,10,699.8,6998.0
2021091505018154,SLI,55,47,10,699.0,6990.0
2021091505018153,SLI,42,48,10,699.5,6995.0
2021091505018152,SLI,42,5,10,699.5,6995.0
2021091505018167,SLI,38,55,10,699.6,6996.0
2021091505018166,SLI,38,4,10,699.6,6996.0
2021091505018165,SLI,38,38,10,699.5,6995.0
2021091505018164,SLI,55,57,10,699.0,6990.0
2021091505018174,SLI,38,55,10,699.8,6998.0
