Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2021010503012624,ALBSL,48,48,1,1150.0,1150.0
2021010503012292,ALBSL,34,43,59,1155.0,68145.0
2021010503012291,ALBSL,34,58,11,1155.0,12705.0
2021010503012290,ALBSL,34,57,30,1144.0,34320.0
2021010503012636,ALICL,49,29,"2,841",950.0,2698950.0
2021010503012635,ALICL,49,19,50,950.0,47500.0
2021010503012634,ALICL,49,49,100,950.0,95000.0
2021010503012633,ALICL,49,45,10,950.0,9500.0
2021010503012632,ALICL,49,46,100,949.0,94900.0
2021010503012631,ALICL,49,54,"1,000",949.0,949000.0
2021010503012630,ALICL,49,3,50,946.0,47300.0
2021010503012450,ALICL,58,49,450,944.0,424800.0
2021010503012669,BFC,38,49,"1,860",138.0,256680.0
2021010503012485,BFC,38,6,140,138.0,19320.0
2021010503012484,BFC,40,6,860,138.0,118680.0
2021010503012407,BFC,40,16,100,138.0,13800.0
2021010503012335,BFC,40,6,"1,000",138.0,138000.0
2021010503012705,CBBL,44,1,210,1190.0,249900.0
2021010503012626,CBBL,11,26,23,1185.0,27255.0
2021010503012625,CBBL,32,26,10,1186.0,11860.0
2021010503012614,CBBL,43,45,196,1186.0,232456.0
2021010503012548,CBBL,43,25,104,1186.0,123344.0
2021010503012474,CBBL,11,42,27,1185.0,31995.0
2021010503012471,CBBL,43,25,237,1186.0,281082.0
2021010503012701,CIT,21,26,15,3383.0,50745.0
2021010503012699,CIT,40,49,16,3384.0,54144.0
2021010503012694,CIT,21,57,25,3383.0,84575.0
2021010503012638,CIT,21,5,20,3382.0,67640.0
2021010503012609,CIT,47,37,30,3381.0,101430.0
2021010503012608,CIT,21,37,20,3381.0,67620.0
2021010503012317,CIT,55,45,10,3383.0,33830.0
2021010503012316,CIT,21,45,10,3383.0,33830.0
2021010503012301,CIT,54,49,34,3384.0,115056.0
2021010503012300,CIT,54,34,16,3384.0,54144.0
2021010503012532,CIT,35,45,10,3383.0,33830.0
2021010503012478,CIT,21,45,20,3383.0,67660.0
2021010503012459,CIT,21,59,10,3382.0,33820.0
2021010503012458,CIT,26,59,10,3382.0,33820.0
2021010503012457,CIT,32,59,10,3382.0,33820.0
2021010503012322,CIT,49,45,50,3383.0,169150.0
2021010503012595,CIT,42,38,40,3382.0,135280.0
2021010503012570,CIT,42,38,10,3382.0,33820.0
2021010503012558,CIT,10,38,50,3383.0,169150.0
2021010503012554,CIT,21,6,30,3383.0,101490.0
2021010503012546,CIT,57,59,10,3382.0,33820.0
2021010503012533,CIT,35,6,20,3383.0,67660.0
2021010503012722,CLBSL,34,1,11,838.0,9218.0
2021010503012721,CLBSL,34,19,10,836.0,8360.0
2021010503012720,CLBSL,34,52,100,836.0,83600.0
2021010503012719,CLBSL,34,34,60,835.0,50100.0
2021010503012718,CLBSL,34,57,100,835.0,83500.0
2021010503012717,CLBSL,34,14,219,834.0,182646.0
2021010503012646,CLBSL,34,45,23,830.0,19090.0
2021010503012645,CLBSL,34,57,98,829.0,81242.0
