Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2021070404019288,AHPC,36,26,100,447.0,44700.0
2021070404019210,AHPC,6,45,200,445.0,89000.0
2021070404018978,AHPC,21,53,100,443.0,44300.0
2021070404018927,AHPC,45,33,500,442.0,221000.0
2021070404019192,AHPC,36,26,600,447.0,268200.0
2021070404019191,AHPC,36,22,200,446.0,89200.0
2021070404019101,AHPC,6,52,10,445.0,4450.0
2021070404019100,AHPC,6,36,990,445.0,440550.0
2021070404019046,AHPC,6,38,55,443.0,24365.0
2021070404018991,AHPC,6,55,20,443.0,8860.0
2021070404019044,AIL,35,21,70,810.0,56700.0
2021070404019043,AIL,57,21,30,811.0,24330.0
2021070404019042,AIL,29,21,30,811.0,24330.0
2021070404018856,AIL,29,51,10,811.0,8110.0
2021070404018946,AKJCL,46,17,62,265.0,16430.0
2021070404018885,AKJCL,46,11,20,265.0,5300.0
2021070404019086,AKPL,44,6,500,427.0,213500.0
2021070404018865,AKPL,7,48,300,428.0,128400.0
2021070404019290,API,19,51,10,378.0,3780.0
2021070404019289,API,59,51,10,378.0,3780.0
2021070404019264,API,48,58,11,375.0,4125.0
2021070404019263,API,17,58,50,375.0,18750.0
2021070404019262,API,36,58,50,376.0,18800.0
2021070404019129,API,52,8,10,375.0,3750.0
2021070404018933,API,45,38,"2,000",375.0,750000.0
2021070404018920,API,57,38,17,375.0,6375.0
2021070404018899,API,43,38,"1,000",375.0,375000.0
2021070404018894,API,45,38,50,375.0,18750.0
2021070404018870,API,14,38,245,375.0,91875.0
2021070404018859,API,47,38,500,375.0,187500.0
2021070404019014,API,52,17,730,375.0,273750.0
2021070404019013,API,42,17,270,375.0,101250.0
2021070404019003,API,42,38,130,375.0,48750.0
2021070404018990,API,49,38,500,375.0,187500.0
2021070404018958,API,6,38,500,375.0,187500.0
2021070404018955,API,41,34,10,374.0,3740.0
2021070404019116,BARUN,20,32,70,528.0,36960.0
2021070404019082,BARUN,47,41,127,526.0,66802.0
2021070404019081,BARUN,45,41,227,526.0,119402.0
2021070404019119,BARUN,20,16,119,532.0,63308.0
2021070404019118,BARUN,20,54,11,530.0,5830.0
2021070404019117,BARUN,20,58,50,530.0,26500.0
2021070404019120,BBC,26,1,10,5345.0,53450.0
2021070404019327,BPCL,17,48,200,516.0,103200.0
2021070404019285,BPCL,21,48,50,516.0,25800.0
2021070404019275,BPCL,6,48,100,516.0,51600.0
2021070404018880,BPCL,1,49,50,516.0,25800.0
2021070404019230,BPCL,4,48,100,516.0,51600.0
2021070404019229,BPCL,51,48,190,516.0,98040.0
2021070404019228,BPCL,1,48,35,516.0,18060.0
2021070404019168,BPCL,1,55,15,516.0,7740.0
2021070404019135,BPCL,57,48,80,517.0,41360.0
2021070404019341,CGH,25,38,320,1562.0,499840.0
2021070404019340,CGH,45,38,100,1562.0,156200.0
2021070404019339,CGH,17,38,20,1565.0,31300.0
2021070404019338,CGH,32,38,10,1565.0,15650.0
2021070404019324,CGH,48,49,10,1569.0,15690.0
