Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2021021805017766,NIFRA,55,6,50,546.0,27300.0
2021021805017765,NIFRA,55,46,30,546.0,16380.0
2021021805017764,NIFRA,55,29,50,546.0,27300.0
2021021805017763,NIFRA,55,44,60,546.0,32760.0
2021021805017762,NIFRA,55,38,50,546.0,27300.0
2021021805017761,PLI,36,33,10,841.0,8410.0
2021021805017760,NIFRA,55,29,50,546.0,27300.0
2021021805017759,NIFRA,55,45,60,546.0,32760.0
2021021805017758,PLI,57,6,10,840.0,8400.0
2021021805017757,NIFRA,55,44,60,546.0,32760.0
2021021805017756,NIFRA,55,44,60,546.0,32760.0
2021021805017755,PLI,35,49,103,844.0,86932.0
2021021805017754,PLI,35,21,10,843.0,8430.0
2021021805017753,PLI,35,51,70,842.0,58940.0
2021021805017752,PLI,35,21,10,842.0,8420.0
2021021805017751,PLI,35,52,10,842.0,8420.0
2021021805017750,PLI,35,22,10,842.0,8420.0
2021021805017749,PLI,35,52,10,842.0,8420.0
2021021805017748,PLI,35,6,110,842.0,92620.0
2021021805017747,PLI,35,11,30,841.0,25230.0
2021021805017746,PLI,35,45,137,841.0,115217.0
2021021805017745,PLI,57,50,10,840.0,8400.0
2021021805017744,PLI,28,50,30,840.0,25200.0
2021021805017743,NIFRA,55,58,50,546.0,27300.0
2021021805017742,NIFRA,55,29,50,546.0,27300.0
2021021805017741,PLI,28,11,10,840.0,8400.0
2021021805017740,PLI,53,11,90,840.0,75600.0
2021021805017739,PLI,53,8,10,840.0,8400.0
2021021805017738,NIFRA,55,57,50,546.0,27300.0
2021021805017737,NIFRA,55,44,60,546.0,32760.0
2021021805017736,NIFRA,55,29,50,546.0,27300.0
2021021805017735,PLI,42,45,30,840.0,25200.0
2021021805017734,PLI,55,45,20,840.0,16800.0
2021021805017733,PLI,55,41,80,840.0,67200.0
2021021805017732,PLI,44,41,20,840.0,16800.0
2021021805017731,NIFRA,55,44,50,546.0,27300.0
2021021805017730,NIFRA,55,56,20,546.0,10920.0
2021021805017729,PLI,41,45,70,841.0,58870.0
2021021805017728,NIFRA,55,16,20,546.0,10920.0
2021021805017727,NIFRA,55,29,50,546.0,27300.0
2021021805017726,PLI,44,8,10,840.0,8400.0
2021021805017725,NIFRA,55,44,50,546.0,27300.0
2021021805017724,PLI,58,57,10,840.0,8400.0
2021021805017723,NIFRA,55,29,50,546.0,27300.0
2021021805017722,PLI,58,26,10,840.0,8400.0
2021021805017721,NIFRA,55,38,40,546.0,21840.0
2021021805017720,NIFRA,55,48,60,546.0,32760.0
2021021805017719,NIFRA,55,41,50,546.0,27300.0
2021021805017718,PLI,58,8,10,840.0,8400.0
2021021805017717,NIFRA,55,29,50,546.0,27300.0
2021021805017716,NIFRA,55,42,60,546.0,32760.0
2021021805017715,NIFRA,55,21,60,546.0,32760.0
2021021805017714,NIFRA,55,4,60,546.0,32760.0
2021021805017713,PLI,58,36,10,840.0,8400.0
2021021805017712,PLI,55,45,20,841.0,16820.0
2021021805017711,NIFRA,55,57,60,546.0,32760.0
2021021805017710,NIFRA,55,57,50,546.0,27300.0
2021021805017709,NIFRA,55,48,60,546.0,32760.0
2021021805017708,NIFRA,55,29,60,546.0,32760.0
2021021805017707,NIFRA,55,57,50,546.0,27300.0
2021021805017706,NIFRA,55,57,60,546.0,32760.0
2021021805017705,NIFRA,55,48,25,546.0,13650.0
2021021805017704,PLI,1,45,10,841.0,8410.0
2021021805017703,NIFRA,55,29,60,546.0,32760.0
2021021805017702,NIFRA,55,44,50,546.0,27300.0
2021021805017701,NIFRA,55,57,50,546.0,27300.0
2021021805017700,NIFRA,55,29,60,546.0,32760.0
2021021805017699,NIFRA,55,56,50,546.0,27300.0
2021021805017698,PLI,49,45,63,841.0,52983.0
2021021805017697,NIFRA,55,34,50,546.0,27300.0
2021021805017696,NIFRA,55,39,50,546.0,27300.0
2021021805017695,PLI,38,45,50,841.0,42050.0
2021021805017694,NIFRA,55,57,60,546.0,32760.0
2021021805017693,NIFRA,55,1,60,546.0,32760.0
2021021805017692,NIFRA,55,46,50,546.0,27300.0
2021021805017691,PLI,58,29,10,840.0,8400.0
2021021805017690,NIFRA,55,44,50,546.0,27300.0
2021021805017689,PLI,58,19,20,840.0,16800.0
2021021805017688,PLI,14,19,30,840.0,25200.0
2021021805017687,NIFRA,55,29,50,546.0,27300.0
2021021805017686,NIFRA,55,6,20,546.0,10920.0
2021021805017685,PLI,14,4,10,840.0,8400.0
2021021805017684,NIFRA,55,1,60,546.0,32760.0
2021021805017683,NIFRA,55,56,50,546.0,27300.0
2021021805017682,NIFRA,55,25,50,546.0,27300.0
2021021805017681,PLI,28,45,20,841.0,16820.0
2021021805017680,PLI,19,45,50,841.0,42050.0
2021021805017679,PLI,58,45,20,841.0,16820.0
2021021805017678,PLI,44,45,30,841.0,25230.0
2021021805017677,NIFRA,55,6,20,546.0,10920.0
2021021805017676,PLI,44,46,70,841.0,58870.0
2021021805017675,PLI,51,46,60,841.0,50460.0
2021021805017674,NIFRA,55,1,60,546.0,32760.0
2021021805017673,NIFRA,55,34,60,546.0,32760.0
