Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2021062304033910,AHPC,47,49,55,488.0,26840.0
2021062304033808,AHPC,54,45,50,486.0,24300.0
2021062304033800,AHPC,11,49,70,488.0,34160.0
2021062304033799,AHPC,11,28,30,487.0,14610.0
2021062304034131,AHPC,6,54,100,490.0,49000.0
2021062304034130,AHPC,6,34,22,490.0,10780.0
2021062304034013,AHPC,6,34,978,490.0,479220.0
2021062304034012,AHPC,6,49,147,490.0,72030.0
2021062304034011,AHPC,6,53,500,489.0,244500.0
2021062304034010,AHPC,6,49,375,488.0,183000.0
2021062304034157,AHPC,6,6,500,496.0,248000.0
2021062304034136,AHPC,6,6,300,496.0,148800.0
2021062304034135,AHPC,6,26,51,495.0,25245.0
2021062304034134,AHPC,6,48,100,495.0,49500.0
2021062304034133,AHPC,6,48,20,495.0,9900.0
2021062304034132,AHPC,6,28,30,490.0,14700.0
2021062304033883,AKJCL,34,57,10,296.0,2960.0
2021062304033993,AKPL,54,58,50,437.0,21850.0
2021062304033970,AKPL,32,58,250,437.0,109250.0
2021062304033957,AKPL,6,58,516,437.0,225492.0
2021062304033935,AKPL,17,58,100,437.0,43700.0
2021062304033932,AKPL,46,58,84,437.0,36708.0
2021062304033931,AKPL,46,45,416,437.0,181792.0
2021062304033839,AKPL,51,45,"1,000",437.0,437000.0
2021062304033838,AKPL,50,45,160,437.0,69920.0
2021062304033837,AKPL,53,45,40,437.0,17480.0
2021062304033836,AKPL,16,45,50,437.0,21850.0
2021062304033929,AKPL,45,45,100,437.0,43700.0
2021062304033866,AKPL,36,45,300,437.0,131100.0
2021062304033847,AKPL,25,45,250,437.0,109250.0
2021062304033842,AKPL,41,45,30,437.0,13110.0
2021062304033841,AKPL,56,45,100,437.0,43700.0
2021062304033840,AKPL,56,45,100,437.0,43700.0
2021062304034214,API,58,34,85,409.0,34765.0
2021062304034173,API,36,34,50,409.0,20450.0
2021062304034125,API,42,34,10,409.0,4090.0
2021062304034124,API,42,20,190,409.0,77710.0
2021062304034113,API,57,20,10,409.0,4090.0
2021062304034088,API,57,34,302,408.0,123216.0
2021062304033944,API,41,5,300,407.0,122100.0
2021062304033943,API,6,5,200,407.0,81400.0
