Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2021042005004220,JLI,14,29,10,751.0,7510.0
2021042005004215,JLI,14,55,10,751.0,7510.0
2021042005004212,JLI,14,57,10,751.0,7510.0
2021042005004206,JLI,14,56,10,751.0,7510.0
2021042005004203,JLI,14,58,10,751.0,7510.0
2021042005004166,JLI,14,29,10,751.0,7510.0
2021042005003876,JLI,14,44,10,751.0,7510.0
2021042005003825,JLI,14,48,10,751.0,7510.0
2021042005003817,JLI,14,21,10,751.0,7510.0
2021042005003787,JLI,38,50,5,746.0,3730.0
2021042005003784,JLI,14,17,10,751.0,7510.0
2021042005003914,JLI,14,20,10,751.0,7510.0
2021042005003908,JLI,14,36,10,751.0,7510.0
2021042005003900,JLI,14,10,10,751.0,7510.0
2021042005003887,JLI,14,20,10,751.0,7510.0
2021042005003886,JLI,14,53,10,751.0,7510.0
2021042005003885,JLI,14,20,10,751.0,7510.0
2021042005004004,JLI,14,26,10,751.0,7510.0
2021042005004001,JLI,14,48,10,751.0,7510.0
2021042005003985,JLI,14,26,10,751.0,7510.0
2021042005003984,JLI,14,20,10,751.0,7510.0
2021042005003972,JLI,14,20,10,751.0,7510.0
2021042005003963,JLI,14,38,10,751.0,7510.0
2021042005003846,MLBSL,59,20,10,1606.0,16060.0
2021042005003807,MLBSL,59,21,10,1606.0,16060.0
2021042005004254,NICLBSL,51,45,10,1818.0,18180.0
2021042005004253,NICLBSL,29,25,10,1816.0,18160.0
2021042005004252,NICLBSL,21,45,160,1818.0,290880.0
2021042005004251,NICLBSL,21,38,20,1818.0,36360.0
2021042005004250,NICLBSL,21,13,20,1818.0,36360.0
2021042005004249,NICLBSL,18,54,10,1817.0,18170.0
2021042005003755,NICLBSL,40,38,190,1813.0,344470.0
2021042005003761,NICLBSL,21,38,50,1813.0,90650.0
2021042005003760,NICLBSL,38,38,50,1813.0,90650.0
2021042005003759,NICLBSL,13,38,50,1813.0,90650.0
2021042005003758,NICLBSL,21,38,10,1813.0,18130.0
2021042005003757,NICLBSL,57,38,100,1813.0,181300.0
2021042005003756,NICLBSL,42,38,50,1813.0,90650.0
2021042005003767,NICLBSL,29,38,10,1813.0,18130.0
2021042005003766,NICLBSL,54,17,10,1812.0,18120.0
2021042005003765,NICLBSL,54,38,10,1812.0,18120.0
2021042005003764,NICLBSL,54,29,10,1812.0,18120.0
2021042005003763,NICLBSL,54,49,10,1812.0,18120.0
2021042005003762,NICLBSL,41,20,10,1812.0,18120.0
2021042005003773,NICLBSL,29,44,10,1812.0,18120.0
2021042005003772,NICLBSL,54,44,10,1812.0,18120.0
2021042005003771,NICLBSL,29,20,10,1813.0,18130.0
2021042005003770,NICLBSL,29,38,10,1813.0,18130.0
2021042005003769,NICLBSL,29,38,10,1813.0,18130.0
2021042005003768,NICLBSL,29,21,10,1813.0,18130.0
2021042005003779,NICLBSL,42,38,10,1812.0,18120.0
2021042005003778,NICLBSL,29,26,10,1812.0,18120.0
2021042005003777,NICLBSL,29,33,10,1812.0,18120.0
2021042005003776,NICLBSL,29,38,10,1812.0,18120.0
2021042005003775,NICLBSL,21,38,10,1813.0,18130.0
2021042005003774,NICLBSL,29,53,10,1812.0,18120.0
2021042005003786,NICLBSL,41,18,10,1813.0,18130.0
2021042005003785,NICLBSL,41,38,10,1813.0,18130.0
2021042005003783,NICLBSL,41,38,10,1813.0,18130.0
2021042005003782,NICLBSL,41,22,10,1813.0,18130.0
2021042005003781,NICLBSL,42,17,10,1812.0,18120.0
2021042005003780,NICLBSL,42,58,10,1812.0,18120.0
2021042005003793,NICLBSL,40,50,10,1813.0,18130.0
2021042005003792,NICLBSL,48,3,10,1813.0,18130.0
2021042005003791,NICLBSL,41,17,10,1813.0,18130.0
2021042005003790,NICLBSL,59,21,10,1814.0,18140.0
2021042005003789,NICLBSL,59,36,10,1814.0,18140.0
2021042005003788,NICLBSL,59,21,10,1814.0,18140.0
2021042005003799,NICLBSL,57,57,10,1813.0,18130.0
2021042005003798,NICLBSL,57,53,10,1813.0,18130.0
2021042005003797,NICLBSL,57,21,10,1813.0,18130.0
2021042005003796,NICLBSL,40,17,10,1813.0,18130.0
2021042005003795,NICLBSL,40,59,10,1813.0,18130.0
2021042005003794,NICLBSL,40,39,10,1813.0,18130.0
2021042005003805,NICLBSL,42,26,10,1812.0,18120.0
2021042005003804,NICLBSL,42,17,20,1812.0,36240.0
2021042005003803,NICLBSL,34,16,10,1813.0,18130.0
2021042005003802,NICLBSL,38,18,10,1813.0,18130.0
2021042005003801,NICLBSL,57,29,10,1813.0,18130.0
2021042005003800,NICLBSL,57,17,10,1813.0,18130.0
2021042005003812,NICLBSL,44,39,60,1814.0,108840.0
2021042005003811,NICLBSL,44,38,10,1814.0,18140.0
2021042005003810,NICLBSL,44,38,10,1814.0,18140.0
2021042005003809,NICLBSL,44,46,10,1814.0,18140.0
2021042005003808,NICLBSL,44,58,10,1814.0,18140.0
2021042005003806,NICLBSL,42,17,10,1812.0,18120.0
2021042005003819,NICLBSL,21,45,10,1812.0,18120.0
2021042005003818,NICLBSL,21,5,10,1812.0,18120.0
2021042005003816,NICLBSL,21,42,10,1812.0,18120.0
2021042005003815,NICLBSL,21,39,10,1812.0,18120.0
2021042005003814,NICLBSL,21,39,10,1812.0,18120.0
2021042005003813,NICLBSL,42,39,30,1812.0,54360.0
2021042005003826,NICLBSL,44,16,10,1812.0,18120.0
2021042005003824,NICLBSL,44,14,10,1812.0,18120.0
2021042005003823,NICLBSL,16,14,20,1812.0,36240.0
2021042005003822,NICLBSL,16,17,10,1812.0,18120.0
2021042005003821,NICLBSL,16,26,10,1812.0,18120.0
2021042005003820,NICLBSL,16,38,10,1812.0,18120.0
2021042005003832,NICLBSL,49,5,10,1813.0,18130.0
2021042005003831,NICLBSL,49,47,10,1813.0,18130.0
2021042005003830,NICLBSL,49,39,10,1813.0,18130.0
2021042005003829,NICLBSL,36,49,10,1812.0,18120.0
2021042005003828,NICLBSL,36,44,10,1812.0,18120.0
2021042005003827,NICLBSL,36,7,10,1812.0,18120.0
2021042005003838,NICLBSL,57,39,10,1812.0,18120.0
2021042005003837,NICLBSL,57,47,10,1812.0,18120.0
2021042005003836,NICLBSL,36,20,10,1812.0,18120.0
2021042005003835,NICLBSL,36,47,10,1812.0,18120.0
2021042005003834,NICLBSL,49,38,10,1813.0,18130.0
2021042005003833,NICLBSL,49,20,10,1813.0,18130.0
2021042005003844,NICLBSL,57,17,10,1812.0,18120.0
2021042005003843,NICLBSL,57,29,10,1812.0,18120.0
2021042005003842,NICLBSL,3,20,10,1813.0,18130.0
2021042005003841,NICLBSL,3,42,10,1813.0,18130.0
2021042005003840,NICLBSL,3,58,10,1813.0,18130.0
2021042005003839,NICLBSL,57,49,20,1812.0,36240.0
2021042005003851,NICLBSL,17,20,10,1813.0,18130.0
2021042005003850,NICLBSL,17,21,10,1813.0,18130.0
2021042005003849,NICLBSL,17,44,10,1813.0,18130.0
2021042005003848,NICLBSL,57,29,10,1812.0,18120.0
2021042005003847,NICLBSL,57,47,10,1812.0,18120.0
